"","AMZN","JPM","DIS","GOOG","KO"
"939",789.73999,63.060986,88.870903,776.219971,39.43742
"940",804.700012,63.579899,89.852043,787.210022,39.836151
"941",805.75,63.447807,89.717377,786.900024,39.632156
"942",799.159973,62.060913,88.457268,774.210022,38.992325
"943",816.109985,62.608116,88.22641,783.01001,39.493057
"944",828.719971,62.938335,88.688126,781.559998,39.085052
"945",829.049988,61.938274,88.30336,775.01001,38.973782
"946",837.309998,62.825119,89.322998,777.289978,39.242691
"947",836.73999,62.749645,88.967079,772.559998,38.973782
"948",834.030029,63.291336,89.063263,776.429993,38.797596
"949",844.359985,64.327171,88.928604,776.469971,38.769775
"950",841.659973,64.498245,89.294128,776.859985,38.677048
"951",839.429993,64.726318,88.967079,775.080017,38.695595
"952",841.710022,65.229973,88.967079,785.940002,38.695595
"953",831,64.916367,88.361076,783.070007,38.519413
"954",834.090027,64.745316,87.92823,786.140015,38.741959
"955",829.280029,64.374695,87.649269,778.190002,38.723412
"956",822.960022,64.165604,87.822411,778.530029,38.63995
"957",812.950012,63.833004,87.370308,779.960022,38.575043
"958",817.650024,64.33667,87.697357,795.26001,38.918148
"959",817.690002,64.954376,88.428413,801.5,38.992325
"960",810.320007,64.868843,88.524605,796.969971,38.881042
"961",818.98999,65.087418,89.486519,799.369995,39.066509
"962",838.090027,65.448563,89.813568,813.109985,39.46524
"963",835.179993,65.382019,89.217186,807.669983,39.446697
"964",822.590027,65.695633,89.928986,799.070007,39.353966
"965",818.359985,65.790672,90.438797,795.349976,39.057236
"966",776.320007,65.67662,90.275276,795.369995,39.159237
"967",789.820007,65.819183,89.159462,784.539978,39.316872
"968",785.409973,65.543579,88.870903,783.609985,39.057236
"969",765.559998,65.26799,88.409172,768.700012,38.992325
"970",767.030029,64.982895,89.813568,762.130005,38.973782
"971",755.049988,64.393707,88.928604,762.02002,38.658497
"972",784.929993,66.408379,90.833191,782.52002,39.372509
"973",787.75,66.550926,90.785088,790.51001,39.761971
"974",771.880005,69.610947,91.035194,785.309998,39.196331
"975",742.380005,72.842049,91.343002,762.559998,37.963032
"976",739.01001,72.880051,93.959396,754.02002,38.04649
"977",719.070007,75.559967,94.190254,736.080017,38.176315
"978",743.23999,75.417412,93.97863,758.48999,38.426682
"979",746.48999,73.554779,95.344551,764.47998,38.259766
"980",756.400024,74.143974,95.58503,771.22998,38.129948
"981",760.159973,73.849388,94.498062,760.539978,37.935215
"982",780,74.172478,93.911301,769.200012,38.352505
"983",785.330017,74.628624,93.988251,768.27002,38.361767
"984",780.119995,74.942253,94.517311,760.98999,38.129948
"985",780.369995,74.913742,95.055969,761.679993,38.510136
"986",766.77002,74.429077,95.200256,768.23999,38.714138
"987",762.52002,74.999268,95.873589,770.840027,38.480358
"988",750.570007,76.187157,95.344551,758.039978,37.732262
"989",743.650024,77.726692,95.171402,747.919983,37.563934
"990",740.340027,77.546127,94.748169,750.5,37.741608
"991",759.359985,79.123665,96.152557,762.52002,37.984745
"992",764.719971,79.532303,96.825897,759.109985,37.937988
"993",770.419983,79.893425,98.105232,771.190002,38.611275
"994",767.330017,80.891258,100.208656,776.419983,38.321384
"995",768.659973,81.242867,101.643257,789.289978,39.275215
"996",760.119995,80.520615,100.867798,789.27002,39.181702
"997",774.340027,80.549141,100.664246,796.099976,39.050781
"998",768.820007,80.520615,100.858109,797.070007,38.536457
"999",761,81.727531,101.187675,797.849976,38.854401
"1000",757.77002,80.720207,100.722404,790.799988,39.032078
"1001",766,81.185852,102.069771,794.200012,38.966614
"1002",771.219971,82.231209,102.224854,796.419983,38.957272
"1003",770.599976,82.440277,102.321785,794.559998,38.873108
"1004",766.340027,82.573334,102.186081,791.26001,38.854401
